# English glosses (and translation links) for the prayers, keyed by the NCX href.
# Read by tools/dkarchag.py for the 'Show English titles' switch. Kept from the
# retired English contents page (toc1.htm, retired 2026-09-17).
# href	gloss	translation_url
OPS/p420-534.htm#page517	Averting Negativity through Siṃhamukhā, The Lion-Faced Ḍākinī	https://www.lhaseylotsawa.org/library/averting-negativity-with-the-lion-faced-lady
OPS/p420-534.htm#page518	White Umbrella	
OPS/p420-534.htm#page526	Vanquishing Hostile Forces	
OPS/p420-534.htm#page534	Averting the Si Spirits	
OPS/p543-615.htm#page543	General Long-Life Prayer, by Chokgyur Lingpa	
OPS/p543-615.htm#page546	Lujin Chö (Brief Giving of the Body)	
OPS/p543-615.htm#page557	Lineage Prayer for Khorwa Dongdruk	
OPS/p543-615.htm#page558	Khorwa Dongdruk	
OPS/p543-615.htm#page571	Confession of a Bodhisattva's Downfalls	
OPS/p543-615.htm#page578	Khorwa Dongdruk	
OPS/p543-615.htm#page581	Sangchö (Aspiration for Good Conduct)	
OPS/p543-615.htm#page596	Maitreya Aspiration	
OPS/p543-615.htm#page603	Bodhicharyavatara (dedications)	
OPS/p543-615.htm#page615	Sukhāvatī Aspiration by the Fifth Karmapa Deshin Shekpa	
OPS/p624-744.htm#page624	Mahamudra Aspiration Prayer	
OPS/p624-744.htm#page630	Samanthabhadra Aspiration Prayer	
OPS/p624-744.htm#page638	Aspiration for Rebirth in the Pure Realm, from the Kusum Rigdü	
OPS/p624-744.htm#page644	Könchok Rinchenma	
OPS/p624-744.htm#page645	Aspiration for Freedom from Illness	
OPS/p624-744.htm#page647	Vajra Knot Aspiration	
OPS/p624-744.htm#page650	Aspiration of the Infinite Ten Directions	
OPS/p624-744.htm#page654	Supplication "Maha Guru", Yeshe Tsogyal's aspiration	
OPS/p624-744.htm#page658	Aspiration for the Fulfilment of Words of Truth	
OPS/p624-744.htm#page662	Chakme's Dewachen Aspiration Prayer	
OPS/p624-744.htm#page687	Chants for the Meditation Session	
OPS/p624-744.htm#page691	Chants for the Meditation Session	
OPS/p624-744.htm#page695	Chochu Düshi Aspiration Prayer	
OPS/p624-744.htm#page699	TODO	
OPS/p624-744.htm#page701	Sukhāvatī Aspiration, from the Tukdrub Yizhin Norbu	
OPS/p624-744.htm#page702	Aspiration to Journey to Lotus Light	
OPS/p624-744.htm#page704	Aspiration for the Pure Realms of the Three Kāyas	
OPS/p624-744.htm#page710	Aspiration for the Well-being of Tibet	
OPS/p624-744.htm#page713	Words-of-Truth Aspiration for the Flourishing of the Teachings, from the Candrapradīpa Sūtra	
OPS/p624-744.htm#page716	Aspiration for the Flourishing of the Early Translation Teachings	
OPS/p624-744.htm#page723	Aspiration for the Flourishing of the Three Jamgöns' Teachings	
OPS/p624-744.htm#page735	Verses of Auspiciousness Spoken by the Buddha	
OPS/p624-744.htm#page744	Aspiration Verses of the Colophon	
OPS/zur-yig.htm#zuryig	Extra prayers — not part of the printed chos spyod	
OPS/zur-yig.htm#TOC_LamaGyangbo	Calling the Guru from Afar — Jamgön Kongtrul	
OPS/zur-yig.htm#TOC_TromeLadrub	The Ultimate Guru Sadhana of Simplicity — Tulku Urgyen Rinpoche	
OPS/zur-yig.htm#TOC_NgowaMonlam	Dedication and aspiration verses, and the one-verse supplication to Padmasambhava (from the Lumbini 2024 chantbook)	
OPS/zur-yig.htm#TOC_PhurpaDuDang	Kilaya conclusion — dissolution, re-arising and auspiciousness (from the Lumbini 2024 chantbook)	
OPS/zur-yig.htm#shabten	Long-life prayers	
